date;country;visa_title;baden_man;baden_woman;bayern_man;bayern_woman;berlin_man;berlin_woman;brandenburg_man;brandenburg_woman;bremen_man;bremen_woman;hamburg_man;hamburg_woman;hessen_man;hessen_woman;mecklen_man;mecklen_woman;niedersachsen_man;niedersachsen_woman;nordrhein_man;nordrhein_woman;rheinland_man;rheinland_woman;saarland_man;saarland_woman;sachsen_man;sachsen_woman;sachsen_anhalt_man;sachsen_anhalt_woman;schleswig_man;schleswig_woman;thueringen_man;thueringen_woman
31.12.2001;China;Befr. AE.aus v�lkerr.,human.,pol.Gr�nden,AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2001;China;Befr.Aufenthaltserlaubn. a.fam. Gr�nden, AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2001;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;3388;2845;2679;2253;2390;1842;542;378;481;332;2221;1246;1896;1829;165;115;1702;1330;5001;4139;1267;1173;331;195;1136;869;533;459;534;309;471;340
31.12.2001;China;Antrag auf einen Aufenthaltstitel gestellt;3;7;23;19;-;-;1;-;5;5;1;-;11;5;-;-;16;15;39;30;19;21;1;2;2;4;2;-;26;24;1;-
31.12.2001;China;Duldung;571;165;288;149;20;17;74;67;15;7;19;9;51;21;3;2;69;22;478;184;108;44;59;19;107;38;121;57;3;1;33;16
31.12.2001;China;Aufenthaltsgestattung;227;90;172;117;13;10;55;49;35;15;3;3;137;98;5;3;99;47;430;220;69;38;37;13;189;104;15;10;5;1;59;34
31.12.2001;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;356;247;860;565;376;265;79;54;45;27;175;99;456;313;13;6;197;120;846;494;121;77;40;15;181;66;70;43;44;19;138;35
31.12.2002;China;Freiz�gigkeit nach EU-Recht;25;59;19;46;10;14;-;3;-;2;5;6;12;36;2;1;3;6;25;68;5;10;1;-;-;1;1;3;2;8;1;1
31.12.2002;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;3;1;1;2;-;1;-;-;-;-;1;-;1;-;-;-;-;-;3;3;-;-;-;-;-;-;-;-;1;-;-;-
31.12.2002;China;Unbefristeter Aufenthaltstitel;397;545;473;573;458;485;36;41;80;81;247;194;419;439;20;14;168;194;636;672;132;188;39;39;31;40;24;18;76;103;20;26
31.12.2002;China;Befristeter Aufenthaltstitel;4005;3371;3056;2668;2490;1949;659;485;746;549;2414;1417;2157;2042;254;175;2384;1814;6472;4873;1263;1220;321;209;1523;1146;728;609;586;360;490;394
31.12.2002;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2002;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2002;China;Befr. AE.aus v�lkerr.,human.,pol.Gr�nden,AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2002;China;Befr.Aufenthaltserlaubn. a.fam. Gr�nden, AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2002;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;4005;3371;3056;2668;2490;1949;659;485;746;549;2414;1417;2157;2042;254;175;2384;1814;6472;4873;1263;1220;321;209;1523;1146;728;609;586;360;490;394
31.12.2002;China;Antrag auf einen Aufenthaltstitel gestellt;2;6;29;31;1;-;11;5;2;1;1;-;2;1;-;-;14;13;29;26;16;9;2;-;2;5;1;1;27;18;-;-
31.12.2002;China;Duldung;572;191;267;147;21;18;75;65;34;13;21;9;71;32;4;1;78;38;584;243;118;44;64;25;110;35;123;66;1;1;52;20
31.12.2002;China;Aufenthaltsgestattung;276;124;251;130;19;12;45;29;16;4;5;4;174;117;2;-;93;36;394;202;67;35;28;12;190;98;32;13;1;-;55;36
31.12.2002;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;309;196;798;509;315;231;68;64;39;23;196;113;367;269;13;7;166;117;921;424;137;71;27;11;224;81;107;76;51;16;100;21
31.12.2003;China;Freiz�gigkeit nach EU-Recht;24;62;26;50;11;19;-;1;-;2;5;6;13;37;3;1;2;18;26;74;8;16;1;1;-;1;1;4;3;10;1;1
31.12.2003;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;3;3;1;3;4;3;-;-;-;-;1;-;1;-;-;-;-;-;4;3;-;1;-;-;-;-;-;-;1;-;-;-
31.12.2003;China;Unbefristeter Aufenthaltstitel;409;592;486;649;464;502;35;41;84;85;275;220;417;486;19;21;175;235;674;710;134;196;41;41;33;50;23;18;76;107;19;28
31.12.2003;China;Befristeter Aufenthaltstitel;4174;3626;3301;2959;2573;2088;654;456;762;615;2604;1546;2373;2234;353;235;2485;1999;6865;5459;1235;1227;349;236;1613;1239;827;683;657;432;525;435
31.12.2003;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2003;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2003;China;Befr. AE.aus v�lkerr.,human.,pol.Gr�nden,AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2003;China;Befr.Aufenthaltserlaubn. a.fam. Gr�nden, AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2003;China;Aufenthaltsst. mit bes. Aufenthaltsrecht, AufenthG;4174;3626;3301;2959;2573;2088;654;456;762;615;2604;1546;2373;2234;353;235;2485;1999;6865;5459;1235;1227;349;236;1613;1239;827;683;657;432;525;435
31.12.2003;China;Antrag auf einen Aufenthaltstitel gestellt;6;3;33;34;-;-;4;2;1;3;1;-;4;3;-;-;9;4;27;30;7;4;1;1;2;2;2;-;6;3;-;-
31.12.2003;China;Duldung;629;241;383;252;30;21;98;80;43;15;18;8;111;52;4;1;129;46;747;324;147;59;85;34;111;42;146;83;2;4;60;15
31.12.2003;China;Aufenthaltsgestattung;290;102;168;66;28;8;19;17;21;8;29;8;147;101;1;-;79;29;332;151;68;25;29;14;133;76;23;8;-;-;61;36
31.12.2003;China;Ohne Aufenthaltstitel, Duldung oder Gestattung;346;250;655;324;329;223;81;52;43;25;207;124;476;302;11;8;171;90;841;427;160;68;22;12;221;84;60;35;41;16;105;26
31.12.2004;China;Freiz�gigkeit nach EU-Recht;27;66;29;60;9;20;-;1;-;2;4;7;15;41;3;-;1;19;30;82;8;19;1;1;-;5;2;4;4;11;1;2
31.12.2004;China;V.d.Erford.e.Aufenthaltstit.befreit, heimatl.Ausl.;1;3;1;3;5;1;-;-;1;-;-;-;1;-;-;-;-;-;3;4;-;1;-;-;-;-;-;-;1;-;-;-
31.12.2004;China;Unbefristeter Aufenthaltstitel;417;621;453;675;434;509;37;48;74;80;252;212;429;492;17;12;171;246;690;778;130;214;46;45;42;54;28;20;76;118;17;32
31.12.2004;China;Befristeter Aufenthaltstitel;3939;3659;3155;2983;2253;1994;611;407;687;559;1600;1239;2239;2253;300;212;2524;2061;6448;5609;1161;1221;351;235;1432;1176;862;703;612;422;504;455
31.12.2004;China;Befr.Aufenthaltserl.z.Zweck d.Ausbild., AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
31.12.2004;China;Befr.Aufenthaltserl. z.Zweck d.Erwerbst.,AufenthG;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
